Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
ifl_esText  ,"(77.82, 0.56)","(77.93, 0.53)","(80.88, 0.3)","(80.83, 0.32)","(53.56, 0.58)","(51.68, 0.6)","(58.13, 0.92)","(74.44, 0.36)","(58.12, 0.89)"
ifl_esAudio ,"(80.68, 0.53)","(80.68, 0.54)","(83.07, 0.65)","(83.22, 0.64)","(53.65, 0.07)","(51.02, 0.07)","(58.06, 1.0)","(77.88, 0.4)","(58.05, 0.98)"
ifl_esVision,"(80.93, 0.24)","(80.92, 0.24)","(82.59, 0.3)","(82.75, 0.29)","(53.6, 0.44)","(51.28, 0.36)","(57.17, 0.89)","(77.86, 0.26)","(57.16, 0.96)"
ifl_esTAV   ,"(77.67, 0.59)","(77.66, 0.59)","(80.68, 0.57)","(80.87, 0.55)","(54.38, 0.67)","(51.96, 0.55)","(58.3, 1.14)","(75.83, 0.56)","(58.29, 1.16)"
ifl_esIID   ,"(81.38, 0.17)","(81.9, 0.17)","(85.21, 0.31)","(85.2, 0.29)","(54.05, 1.44)","(52.23, 1.47)","(55.14, 0.79)","(76.05, 0.49)","(55.12, 0.78)"
ifl_esText  ,"(77.68, 0.07)","(77.85, 0.09)","(81.39, 0.21)","(81.36, 0.21)","(52.82, 1.47)","(50.76, 1.5)","(58.26, 1.0)","(74.42, 0.42)","(58.28, 0.98)"
ifl_esAudio ,"(80.77, 0.43)","(80.77, 0.43)","(83.54, 0.39)","(83.68, 0.38)","(53.5, 0.89)","(50.87, 0.9)","(57.95, 0.91)","(77.97, 0.49)","(57.97, 0.91)"
ifl_esVision,"(81.01, 0.2)","(81.01, 0.2)","(83.1, 0.29)","(83.24, 0.28)","(53.05, 0.8)","(50.7, 0.82)","(57.19, 0.71)","(77.71, 0.33)","(57.22, 0.71)"
ifl_esTAV   ,"(77.76, 0.42)","(77.76, 0.42)","(81.27, 0.48)","(81.45, 0.46)","(53.52, 1.24)","(51.03, 1.29)","(58.4, 1.02)","(75.8, 0.5)","(58.42, 1.01)"
ifl_esIID   ,"(81.07, 1.28)","(81.67, 1.15)","(85.17, 0.47)","(85.22, 0.43)","(54.22, 0.74)","(52.21, 0.6)","(55.69, 1.03)","(75.85, 0.74)","(55.69, 1.03)"
ifl_esText  ,"(77.9, 1.32)","(78.08, 1.28)","(81.72, 0.67)","(81.7, 0.68)","(53.2, 0.76)","(51.03, 0.82)","(58.39, 0.95)","(74.23, 0.44)","(58.35, 0.95)"
ifl_esAudio ,"(81.16, 0.76)","(81.15, 0.76)","(84.21, 0.47)","(84.33, 0.46)","(53.52, 0.43)","(50.65, 0.45)","(57.82, 1.04)","(77.68, 0.72)","(57.83, 1.03)"
ifl_esVision,"(81.2, 0.48)","(81.2, 0.49)","(83.58, 0.44)","(83.71, 0.43)","(53.31, 0.21)","(50.7, 0.16)","(57.06, 1.23)","(77.49, 1.01)","(57.08, 1.26)"
ifl_esTAV   ,"(78.06, 0.63)","(78.05, 0.65)","(81.88, 0.24)","(82.03, 0.22)","(53.94, 1.23)","(51.24, 1.11)","(58.45, 1.67)","(75.32, 1.23)","(58.48, 1.66)"
ifl_esIID   ,"(81.33, 0.83)","(81.84, 0.67)","(84.98, 0.16)","(84.96, 0.09)","(52.66, 0.98)","(50.68, 0.83)","(55.89, 0.38)","(76.21, 0.18)","(55.87, 0.38)"
ifl_esText  ,"(77.82, 0.39)","(77.94, 0.3)","(81.32, 0.51)","(81.26, 0.55)","(50.68, 0.78)","(48.61, 0.65)","(59.23, 0.65)","(74.44, 0.33)","(59.23, 0.68)"
ifl_esAudio ,"(80.5, 0.48)","(80.48, 0.49)","(83.2, 1.08)","(83.33, 1.04)","(51.84, 0.7)","(48.91, 0.64)","(58.91, 0.94)","(77.92, 0.33)","(58.9, 0.94)"
ifl_esVision,"(81.19, 0.42)","(81.17, 0.44)","(82.98, 1.07)","(83.11, 1.04)","(51.1, 1.04)","(48.48, 0.98)","(57.8, 1.26)","(78.16, 0.57)","(57.82, 1.29)"
ifl_esTAV   ,"(77.5, 0.51)","(77.48, 0.52)","(80.77, 0.95)","(80.94, 0.91)","(51.3, 0.66)","(48.65, 0.5)","(59.52, 0.93)","(75.63, 0.27)","(59.57, 0.89)"
ifl_esIID   ,"(79.19, 1.67)","(79.94, 1.5)","(84.44, 0.52)","(84.53, 0.45)","(53.27, 1.07)","(51.38, 1.11)","(55.62, 0.16)","(76.27, 0.21)","(55.62, 0.14)"
ifl_esText  ,"(75.83, 1.32)","(76.06, 1.28)","(81.01, 0.2)","(81.0, 0.19)","(51.68, 1.12)","(49.59, 1.26)","(58.77, 0.19)","(74.56, 0.38)","(58.72, 0.18)"
ifl_esAudio ,"(79.86, 0.68)","(79.83, 0.71)","(83.82, 0.39)","(83.93, 0.36)","(52.74, 0.86)","(49.94, 0.9)","(57.79, 0.41)","(78.21, 0.22)","(57.76, 0.42)"
ifl_esVision,"(80.01, 0.82)","(79.98, 0.85)","(83.33, 0.15)","(83.44, 0.12)","(52.55, 0.8)","(50.12, 0.88)","(56.93, 0.34)","(78.11, 0.26)","(56.93, 0.33)"
ifl_esTAV   ,"(76.29, 0.8)","(76.23, 0.85)","(81.4, 0.39)","(81.53, 0.34)","(52.74, 0.95)","(50.12, 1.07)","(58.19, 0.5)","(76.04, 0.04)","(58.19, 0.5)"
ifl_esIID   ,"(81.27, 2.11)","(81.78, 1.89)","(85.14, 0.71)","(85.12, 0.63)","(53.6, 0.88)","(51.76, 0.87)","(55.26, 0.35)","(76.44, 0.26)","(55.26, 0.32)"
ifl_esText  ,"(77.44, 1.69)","(77.58, 1.58)","(81.22, 0.21)","(81.17, 0.19)","(51.94, 1.16)","(49.94, 1.24)","(58.9, 0.53)","(74.5, 0.19)","(58.95, 0.54)"
ifl_esAudio ,"(80.72, 0.96)","(80.71, 0.95)","(83.44, 0.66)","(83.58, 0.64)","(52.86, 0.7)","(50.13, 0.67)","(58.26, 0.8)","(78.21, 0.2)","(58.22, 0.82)"
ifl_esVision,"(80.77, 1.07)","(80.75, 1.06)","(82.81, 0.24)","(82.95, 0.22)","(52.65, 0.83)","(50.24, 0.76)","(57.6, 0.73)","(78.0, 0.09)","(57.61, 0.78)"
ifl_esTAV   ,"(77.47, 1.38)","(77.45, 1.37)","(81.01, 0.55)","(81.18, 0.52)","(52.92, 1.18)","(50.37, 1.21)","(58.87, 0.96)","(75.8, 0.31)","(58.87, 0.97)"
ifl_esIID   ,"(79.22, 2.2)","(79.97, 1.98)","(84.34, 0.93)","(84.44, 0.85)","(54.68, 0.68)","(52.9, 0.64)","(55.32, 0.69)","(76.17, 0.46)","(55.33, 0.68)"
ifl_esText  ,"(76.11, 1.8)","(76.33, 1.75)","(81.2, 0.54)","(81.19, 0.53)","(53.09, 0.73)","(51.12, 0.7)","(58.2, 0.77)","(74.5, 0.65)","(58.2, 0.76)"
ifl_esAudio ,"(79.89, 1.05)","(79.85, 1.1)","(83.82, 0.4)","(83.92, 0.38)","(53.87, 0.11)","(51.22, 0.1)","(57.43, 0.62)","(77.97, 0.53)","(57.39, 0.65)"
ifl_esVision,"(80.23, 1.06)","(80.2, 1.1)","(83.41, 0.24)","(83.51, 0.23)","(53.51, 0.56)","(51.18, 0.53)","(56.61, 0.39)","(77.84, 0.56)","(56.63, 0.43)"
ifl_esTAV   ,"(76.7, 1.27)","(76.63, 1.34)","(81.59, 0.33)","(81.7, 0.34)","(54.17, 0.44)","(51.71, 0.51)","(57.93, 0.68)","(75.88, 0.57)","(57.91, 0.67)"
ifl_esIID   ,"(79.35, 1.79)","(80.1, 1.59)","(84.39, 0.58)","(84.48, 0.49)","(54.75, 0.11)","(52.95, 0.08)","(54.69, 0.17)","(76.51, 0.18)","(54.68, 0.16)"
ifl_esText  ,"(76.43, 1.27)","(76.64, 1.21)","(81.45, 0.06)","(81.43, 0.03)","(53.05, 0.45)","(51.03, 0.35)","(57.46, 0.26)","(74.88, 0.06)","(57.46, 0.3)"
ifl_esAudio ,"(80.0, 0.63)","(79.97, 0.65)","(83.74, 0.35)","(83.83, 0.31)","(54.03, 0.35)","(51.32, 0.31)","(57.02, 0.32)","(78.27, 0.07)","(57.03, 0.37)"
ifl_esVision,"(79.91, 0.7)","(79.88, 0.73)","(83.23, 0.41)","(83.33, 0.37)","(53.53, 0.17)","(51.11, 0.15)","(56.33, 0.27)","(78.15, 0.27)","(56.37, 0.25)"
ifl_esTAV   ,"(76.83, 0.91)","(76.78, 0.96)","(81.53, 0.38)","(81.65, 0.33)","(54.47, 0.57)","(51.94, 0.65)","(57.51, 0.25)","(76.06, 0.13)","(57.52, 0.21)"
ifl_esIID   ,"(81.2, 2.13)","(81.75, 1.9)","(85.2, 0.94)","(85.2, 0.84)","(53.6, 0.98)","(51.82, 1.05)","(55.07, 0.45)","(76.37, 0.05)","(55.07, 0.46)"
ifl_esText  ,"(77.79, 1.89)","(77.93, 1.77)","(81.56, 0.53)","(81.52, 0.48)","(52.23, 0.85)","(50.24, 0.93)","(58.18, 1.05)","(74.74, 0.15)","(58.2, 1.08)"
ifl_esAudio ,"(80.82, 1.25)","(80.8, 1.24)","(83.81, 0.35)","(83.94, 0.34)","(52.61, 0.98)","(49.98, 1.05)","(57.73, 1.18)","(78.21, 0.14)","(57.72, 1.16)"
ifl_esVision,"(81.03, 1.07)","(81.02, 1.05)","(83.38, 0.35)","(83.51, 0.34)","(52.58, 1.07)","(50.26, 1.12)","(56.92, 1.27)","(78.08, 0.22)","(56.95, 1.23)"
ifl_esTAV   ,"(78.09, 1.25)","(78.07, 1.25)","(81.75, 0.37)","(81.92, 0.36)","(53.3, 1.02)","(50.82, 1.16)","(58.22, 1.26)","(75.96, 0.26)","(58.21, 1.28)"
ifl_esIID   ,"(79.38, 2.58)","(80.08, 2.27)","(84.48, 0.74)","(84.54, 0.61)","(54.25, 0.59)","(52.37, 0.55)","(55.01, 0.32)","(76.16, 0.27)","(55.0, 0.3)"
ifl_esText  ,"(75.94, 2.08)","(76.12, 1.99)","(81.17, 0.21)","(81.13, 0.21)","(53.03, 0.89)","(50.86, 0.83)","(58.0, 0.94)","(74.42, 0.14)","(58.01, 0.96)"
ifl_esAudio ,"(79.81, 1.02)","(79.76, 1.07)","(83.72, 0.78)","(83.82, 0.74)","(53.67, 1.19)","(50.88, 1.15)","(57.41, 1.37)","(78.1, 0.19)","(57.44, 1.34)"
ifl_esVision,"(79.98, 1.25)","(79.93, 1.28)","(83.21, 0.47)","(83.32, 0.42)","(53.45, 1.04)","(51.0, 0.99)","(56.77, 1.16)","(77.74, 0.33)","(56.75, 1.21)"
ifl_esTAV   ,"(76.44, 1.1)","(76.36, 1.18)","(81.25, 0.81)","(81.38, 0.75)","(53.8, 1.09)","(51.14, 1.06)","(58.23, 1.14)","(75.56, 0.3)","(58.23, 1.16)"
