Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
ifl_esTAV   ,"(78.05, 0.52)","(78.03, 0.52)","(81.05, 0.78)","(81.23, 0.75)","(53.7, 1.12)","(51.38, 1.08)","(58.11, 0.35)","(75.9, 0.23)","(58.08, 0.33)"
ifl_esIID   ,"(82.65, 1.06)","(83.01, 0.96)","(85.54, 0.36)","(85.48, 0.34)","(53.82, 0.69)","(52.19, 0.69)","(54.76, 0.55)","(76.45, 0.2)","(54.75, 0.53)"
ifl_esText  ,"(78.73, 1.26)","(78.79, 1.21)","(81.39, 0.54)","(81.32, 0.55)","(52.7, 0.75)","(50.94, 0.72)","(57.95, 0.6)","(74.67, 0.47)","(57.94, 0.59)"
ifl_esAudio ,"(81.28, 0.78)","(81.27, 0.78)","(83.24, 0.38)","(83.4, 0.38)","(53.04, 0.92)","(50.6, 1.01)","(57.85, 0.71)","(78.14, 0.46)","(57.86, 0.68)"
ifl_esVision,"(81.53, 0.8)","(81.51, 0.79)","(82.86, 0.37)","(83.01, 0.36)","(52.39, 0.65)","(50.26, 0.7)","(57.08, 0.68)","(77.99, 0.52)","(57.08, 0.67)"
ifl_esTAV   ,"(78.01, 0.95)","(78.01, 0.94)","(80.79, 0.25)","(80.98, 0.25)","(53.26, 0.84)","(51.02, 0.85)","(58.35, 0.73)","(75.74, 0.57)","(58.32, 0.73)"
ifl_esIID   ,"(82.83, 0.8)","(83.21, 0.72)","(85.67, 0.06)","(85.62, 0.05)","(53.8, 1.69)","(52.04, 1.71)","(55.14, 1.72)","(76.4, 0.42)","(55.13, 1.74)"
ifl_esText  ,"(79.08, 1.06)","(79.15, 0.99)","(81.49, 0.31)","(81.43, 0.29)","(52.53, 1.6)","(50.68, 1.51)","(58.07, 1.86)","(74.76, 0.59)","(58.07, 1.86)"
ifl_esAudio ,"(81.84, 0.47)","(81.83, 0.47)","(83.63, 0.27)","(83.78, 0.27)","(53.1, 1.32)","(50.52, 1.3)","(57.91, 1.68)","(78.18, 0.47)","(57.91, 1.7)"
ifl_esVision,"(81.54, 0.16)","(81.53, 0.15)","(82.98, 0.4)","(83.13, 0.39)","(52.73, 1.33)","(50.47, 1.32)","(57.33, 1.85)","(77.72, 0.71)","(57.32, 1.83)"
ifl_esTAV   ,"(78.49, 0.53)","(78.48, 0.53)","(81.03, 0.57)","(81.22, 0.56)","(53.41, 1.53)","(51.05, 1.53)","(58.49, 1.5)","(75.84, 0.47)","(58.48, 1.5)"
ifl_esIID   ,"(80.91, 1.26)","(81.46, 1.15)","(84.99, 0.26)","(84.99, 0.24)","(52.93, 0.43)","(51.18, 0.43)","(55.61, 0.73)","(75.59, 0.55)","(55.59, 0.74)"
ifl_esText  ,"(77.26, 1.44)","(77.42, 1.38)","(81.19, 0.4)","(81.15, 0.39)","(51.68, 0.17)","(49.82, 0.13)","(58.54, 1.07)","(74.01, 0.86)","(58.53, 1.08)"
ifl_esAudio ,"(80.33, 1.08)","(80.33, 1.07)","(83.39, 0.32)","(83.54, 0.32)","(52.59, 0.5)","(49.95, 0.48)","(58.23, 1.01)","(77.35, 0.7)","(58.28, 1.05)"
ifl_esVision,"(80.29, 1.06)","(80.29, 1.05)","(82.62, 0.33)","(82.77, 0.33)","(52.14, 0.49)","(49.77, 0.49)","(57.65, 0.88)","(77.04, 0.76)","(57.69, 0.87)"
ifl_esTAV   ,"(76.92, 0.76)","(76.92, 0.76)","(80.55, 0.28)","(80.73, 0.27)","(52.53, 1.02)","(50.07, 1.0)","(59.21, 1.13)","(74.71, 0.79)","(59.2, 1.13)"
ifl_esIID   ,"(81.36, 2.59)","(81.73, 2.23)","(84.17, 0.77)","(84.06, 0.68)","(52.56, 0.39)","(50.85, 0.36)","(57.48, 0.71)","(74.21, 0.58)","(57.51, 0.73)"
ifl_esText  ,"(77.64, 2.44)","(77.61, 2.21)","(79.89, 0.4)","(79.75, 0.39)","(51.39, 0.61)","(49.45, 0.63)","(60.97, 0.19)","(71.85, 0.32)","(60.96, 0.19)"
ifl_esAudio ,"(79.54, 1.01)","(79.47, 1.0)","(81.33, 1.37)","(81.48, 1.35)","(51.71, 0.4)","(49.13, 0.43)","(60.88, 0.84)","(75.66, 0.68)","(60.9, 0.86)"
ifl_esVision,"(79.48, 0.92)","(79.41, 0.9)","(80.84, 1.06)","(80.99, 1.05)","(51.73, 0.34)","(49.4, 0.32)","(60.11, 0.56)","(75.68, 0.51)","(60.07, 0.56)"
ifl_esTAV   ,"(76.99, 1.34)","(76.9, 1.32)","(79.25, 1.25)","(79.42, 1.23)","(52.14, 0.73)","(49.73, 0.8)","(61.24, 0.42)","(73.42, 0.48)","(61.22, 0.43)"
ifl_esIID   ,"(81.1, 0.87)","(81.71, 0.8)","(85.29, 0.52)","(85.34, 0.49)","(53.55, 1.14)","(51.69, 1.3)","(55.32, 0.74)","(76.58, 0.25)","(55.32, 0.74)"
ifl_esText  ,"(77.87, 0.79)","(78.06, 0.76)","(82.14, 0.31)","(82.12, 0.31)","(52.05, 1.15)","(49.96, 1.32)","(57.85, 0.89)","(75.19, 0.47)","(57.88, 0.9)"
ifl_esAudio ,"(80.87, 0.8)","(80.86, 0.81)","(84.13, 0.34)","(84.25, 0.34)","(52.84, 0.33)","(50.07, 0.52)","(57.3, 0.48)","(78.61, 0.18)","(57.29, 0.43)"
ifl_esVision,"(81.59, 0.58)","(81.59, 0.58)","(84.06, 0.36)","(84.18, 0.36)","(52.62, 0.86)","(50.19, 1.09)","(56.34, 0.56)","(78.57, 0.29)","(56.32, 0.57)"
ifl_esTAV   ,"(77.73, 0.8)","(77.72, 0.81)","(81.68, 0.43)","(81.83, 0.43)","(52.38, 1.26)","(49.82, 1.51)","(58.3, 1.01)","(76.13, 0.42)","(58.29, 1.03)"
ifl_esText  ,"(78.43, 2.14)","(78.55, 2.03)","(81.93, 0.54)","(81.89, 0.51)","(53.11, 0.5)","(51.26, 0.41)","(57.36, 0.45)","(75.08, 0.15)","(57.39, 0.48)"
ifl_esAudio ,"(81.54, 1.25)","(81.52, 1.27)","(84.11, 0.26)","(84.23, 0.27)","(53.75, 0.07)","(51.11, 0.07)","(56.66, 0.41)","(78.7, 0.06)","(56.63, 0.42)"
ifl_esVision,"(81.69, 1.11)","(81.67, 1.12)","(83.69, 0.37)","(83.82, 0.36)","(53.6, 0.21)","(51.27, 0.2)","(55.92, 0.5)","(78.55, 0.1)","(55.93, 0.47)"
ifl_esTAV   ,"(78.2, 1.24)","(78.17, 1.26)","(81.53, 0.35)","(81.69, 0.34)","(53.97, 0.56)","(51.58, 0.49)","(57.45, 0.63)","(76.4, 0.2)","(57.44, 0.63)"
ifl_esIID   ,"(80.83, 0.61)","(81.46, 0.55)","(85.17, 0.37)","(85.23, 0.34)","(53.51, 0.59)","(51.69, 0.49)","(55.28, 0.46)","(76.5, 0.57)","(55.31, 0.49)"
ifl_esText  ,"(77.79, 0.38)","(77.99, 0.35)","(82.02, 0.03)","(82.01, 0.02)","(52.18, 0.33)","(50.27, 0.28)","(57.8, 0.39)","(75.03, 0.33)","(57.82, 0.37)"
ifl_esAudio ,"(81.08, 0.36)","(81.08, 0.36)","(84.39, 0.31)","(84.5, 0.3)","(53.18, 0.54)","(50.51, 0.45)","(57.26, 0.61)","(78.57, 0.42)","(57.22, 0.63)"
ifl_esVision,"(81.23, 0.5)","(81.22, 0.5)","(83.76, 0.25)","(83.88, 0.25)","(52.71, 0.71)","(50.37, 0.59)","(56.6, 0.58)","(78.23, 0.44)","(56.62, 0.57)"
ifl_esTAV   ,"(77.2, 0.15)","(77.18, 0.17)","(81.44, 0.16)","(81.59, 0.14)","(52.73, 0.39)","(50.23, 0.39)","(58.51, 0.56)","(75.87, 0.51)","(58.47, 0.53)"
ifl_esIID   ,"(80.66, 1.21)","(81.29, 1.06)","(84.95, 0.33)","(85.01, 0.27)","(54.39, 0.45)","(52.73, 0.43)","(54.46, 0.17)","(76.84, 0.11)","(54.45, 0.15)"
ifl_esText  ,"(77.47, 0.83)","(77.66, 0.78)","(81.85, 0.06)","(81.83, 0.07)","(53.11, 0.6)","(51.3, 0.51)","(56.82, 0.27)","(75.44, 0.27)","(56.82, 0.27)"
ifl_esAudio ,"(80.48, 0.26)","(80.47, 0.27)","(83.79, 0.62)","(83.91, 0.59)","(53.61, 0.35)","(51.13, 0.4)","(56.4, 0.58)","(78.83, 0.07)","(56.4, 0.59)"
ifl_esVision,"(81.18, 0.18)","(81.17, 0.19)","(83.85, 0.6)","(83.97, 0.57)","(53.39, 0.62)","(51.21, 0.59)","(55.46, 0.5)","(78.92, 0.06)","(55.46, 0.47)"
ifl_esTAV   ,"(77.18, 0.39)","(77.15, 0.41)","(81.29, 0.65)","(81.43, 0.62)","(53.53, 0.82)","(51.3, 0.78)","(57.44, 0.45)","(76.32, 0.06)","(57.44, 0.48)"
ifl_esIID   ,"(81.49, 2.11)","(81.98, 1.87)","(85.2, 0.64)","(85.18, 0.57)","(54.86, 0.24)","(53.19, 0.22)","(53.77, 0.32)","(76.33, 0.22)","(53.76, 0.3)"
ifl_esText  ,"(77.92, 1.98)","(78.05, 1.86)","(81.32, 0.58)","(81.27, 0.57)","(53.48, 0.09)","(51.67, 0.14)","(56.79, 0.22)","(74.55, 0.24)","(56.78, 0.24)"
ifl_esAudio ,"(80.7, 1.36)","(80.67, 1.34)","(83.39, 0.32)","(83.53, 0.32)","(53.97, 0.59)","(51.45, 0.57)","(56.84, 0.36)","(78.07, 0.22)","(56.83, 0.37)"
ifl_esVision,"(80.97, 0.91)","(80.95, 0.89)","(82.94, 0.24)","(83.08, 0.23)","(53.59, 0.24)","(51.42, 0.21)","(56.26, 0.48)","(77.81, 0.35)","(56.27, 0.49)"
ifl_esTAV   ,"(77.35, 1.4)","(77.33, 1.38)","(80.8, 0.35)","(80.99, 0.34)","(54.07, 0.34)","(51.82, 0.35)","(57.1, 0.27)","(75.98, 0.12)","(57.09, 0.26)"
ifl_esIID   ,"(79.74, 1.6)","(80.43, 1.38)","(84.4, 0.4)","(84.45, 0.31)","(53.59, 0.42)","(51.76, 0.4)","(55.42, 0.25)","(76.48, 0.08)","(55.41, 0.26)"
ifl_esText  ,"(76.41, 1.12)","(76.6, 1.04)","(80.94, 0.43)","(80.91, 0.46)","(52.18, 0.43)","(50.26, 0.36)","(58.17, 0.54)","(74.8, 0.24)","(58.17, 0.57)"
ifl_esAudio ,"(79.92, 0.33)","(79.9, 0.32)","(83.35, 0.98)","(83.46, 0.94)","(53.07, 0.25)","(50.46, 0.18)","(57.49, 1.08)","(78.39, 0.29)","(57.5, 1.07)"
ifl_esVision,"(80.17, 0.15)","(80.15, 0.16)","(83.1, 0.94)","(83.21, 0.9)","(52.59, 0.51)","(50.34, 0.44)","(56.76, 1.01)","(78.31, 0.34)","(56.79, 1.03)"
ifl_esTAV   ,"(76.68, 0.58)","(76.64, 0.6)","(80.92, 0.78)","(81.05, 0.72)","(53.15, 0.91)","(50.8, 0.88)","(58.29, 0.94)","(76.02, 0.23)","(58.28, 0.94)"
ifl_esIID   ,"(80.14, 1.1)","(80.79, 0.97)","(84.86, 0.56)","(84.9, 0.51)","(54.66, 0.22)","(52.87, 0.2)","(54.28, 0.54)","(76.55, 0.23)","(54.27, 0.53)"
ifl_esText  ,"(76.45, 0.79)","(76.66, 0.76)","(80.96, 0.81)","(80.93, 0.82)","(53.23, 0.43)","(51.29, 0.37)","(57.22, 0.69)","(74.84, 0.07)","(57.19, 0.66)"
ifl_esAudio ,"(80.25, 0.51)","(80.24, 0.51)","(83.82, 0.73)","(83.95, 0.72)","(53.75, 0.28)","(51.1, 0.26)","(57.29, 0.79)","(77.95, 0.38)","(57.29, 0.8)"
ifl_esVision,"(80.07, 0.42)","(80.06, 0.42)","(83.11, 0.64)","(83.24, 0.63)","(53.61, 0.6)","(51.25, 0.56)","(56.62, 0.93)","(77.75, 0.53)","(56.63, 0.9)"
ifl_esTAV   ,"(76.44, 0.39)","(76.42, 0.39)","(81.03, 0.87)","(81.19, 0.84)","(53.73, 0.68)","(51.26, 0.66)","(57.91, 0.97)","(75.51, 0.44)","(57.9, 0.99)"
ifl_esIID   ,"(78.82, 2.62)","(79.62, 2.36)","(84.09, 1.17)","(84.21, 1.06)","(54.13, 0.87)","(52.51, 0.92)","(55.48, 0.32)","(76.4, 0.43)","(55.46, 0.34)"
ifl_esText  ,"(76.21, 2.5)","(76.42, 2.41)","(81.2, 0.78)","(81.18, 0.76)","(52.91, 0.64)","(51.24, 0.74)","(57.89, 0.69)","(74.64, 0.65)","(57.88, 0.69)"
ifl_esAudio ,"(79.89, 1.24)","(79.83, 1.28)","(83.87, 0.15)","(83.95, 0.14)","(53.43, 0.78)","(51.05, 0.89)","(57.39, 0.65)","(78.18, 0.28)","(57.38, 0.65)"
ifl_esVision,"(79.8, 1.28)","(79.75, 1.31)","(83.26, 0.15)","(83.34, 0.14)","(52.97, 0.77)","(50.86, 0.79)","(56.6, 0.6)","(78.07, 0.27)","(56.64, 0.59)"
ifl_esTAV   ,"(76.68, 1.38)","(76.6, 1.44)","(81.47, 0.02)","(81.57, 0.05)","(53.56, 0.93)","(51.39, 0.98)","(57.92, 0.4)","(75.91, 0.18)","(57.92, 0.42)"
ifl_esIID   ,"(80.0, 0.83)","(80.67, 0.74)","(84.7, 0.07)","(84.76, 0.05)","(54.29, 0.18)","(52.61, 0.15)","(54.78, 0.14)","(76.44, 0.09)","(54.76, 0.14)"
ifl_esText  ,"(76.47, 0.48)","(76.69, 0.46)","(81.05, 0.42)","(81.04, 0.43)","(53.04, 0.42)","(51.3, 0.29)","(57.55, 0.22)","(74.74, 0.07)","(57.5, 0.21)"
ifl_esAudio ,"(80.21, 0.63)","(80.2, 0.63)","(83.72, 0.49)","(83.84, 0.47)","(53.4, 0.5)","(50.98, 0.51)","(57.05, 0.54)","(78.35, 0.24)","(57.02, 0.56)"
ifl_esVision,"(80.4, 0.47)","(80.4, 0.48)","(83.25, 0.51)","(83.37, 0.49)","(52.7, 0.42)","(50.6, 0.4)","(56.45, 0.67)","(78.06, 0.32)","(56.4, 0.64)"
ifl_esTAV   ,"(76.94, 0.35)","(76.92, 0.34)","(81.2, 0.57)","(81.35, 0.54)","(53.38, 0.69)","(51.13, 0.62)","(57.95, 0.63)","(75.75, 0.32)","(57.9, 0.63)"
ifl_esIID   ,"(81.8, 1.57)","(82.23, 1.36)","(85.13, 0.38)","(85.08, 0.29)","(53.47, 1.01)","(51.78, 0.96)","(55.13, 0.27)","(76.35, 0.18)","(55.12, 0.27)"
ifl_esText  ,"(78.3, 1.44)","(78.39, 1.33)","(81.11, 0.28)","(81.04, 0.27)","(52.27, 1.39)","(50.46, 1.38)","(58.19, 0.49)","(74.6, 0.12)","(58.25, 0.5)"
ifl_esAudio ,"(80.73, 0.47)","(80.71, 0.46)","(83.04, 0.58)","(83.18, 0.56)","(52.76, 1.32)","(50.24, 1.27)","(58.15, 1.13)","(78.0, 0.24)","(58.17, 1.13)"
ifl_esVision,"(80.83, 0.49)","(80.8, 0.47)","(82.52, 0.59)","(82.67, 0.57)","(52.59, 1.1)","(50.32, 1.05)","(57.6, 1.17)","(77.5, 0.3)","(57.59, 1.18)"
ifl_esTAV   ,"(77.44, 0.8)","(77.42, 0.79)","(80.38, 0.6)","(80.56, 0.57)","(52.89, 1.57)","(50.54, 1.54)","(58.92, 1.2)","(75.41, 0.49)","(58.87, 1.18)"
ifl_esIID   ,"(79.92, 1.74)","(80.62, 1.6)","(84.71, 0.64)","(84.78, 0.61)","(54.12, 1.16)","(52.29, 1.25)","(56.06, 0.87)","(75.93, 0.14)","(56.07, 0.85)"
ifl_esText  ,"(76.7, 2.11)","(76.91, 2.06)","(81.41, 0.89)","(81.4, 0.89)","(52.52, 1.27)","(50.4, 1.29)","(58.97, 0.4)","(74.19, 0.49)","(58.95, 0.38)"
ifl_esAudio ,"(80.34, 0.96)","(80.33, 0.97)","(83.85, 0.28)","(83.97, 0.28)","(53.29, 0.87)","(50.6, 0.88)","(58.14, 1.03)","(77.84, 0.19)","(58.14, 1.05)"
ifl_esVision,"(80.49, 0.99)","(80.49, 1.0)","(83.35, 0.26)","(83.47, 0.27)","(53.04, 0.75)","(50.67, 0.77)","(57.41, 0.9)","(77.6, 0.28)","(57.48, 0.87)"
ifl_esTAV   ,"(77.08, 1.36)","(77.05, 1.38)","(81.38, 0.44)","(81.52, 0.44)","(53.36, 1.4)","(50.82, 1.49)","(58.87, 1.05)","(75.36, 0.35)","(58.87, 1.05)"
ifl_esIID   ,"(82.33, 0.75)","(82.73, 0.68)","(85.5, 0.1)","(85.44, 0.12)","(54.45, 0.43)","(52.79, 0.39)","(54.63, 0.32)","(76.26, 0.09)","(54.64, 0.28)"
ifl_esText  ,"(78.56, 0.83)","(78.65, 0.81)","(81.41, 0.28)","(81.35, 0.28)","(52.82, 0.76)","(51.08, 0.74)","(58.19, 0.3)","(74.39, 0.17)","(58.2, 0.29)"
ifl_esAudio ,"(80.97, 0.47)","(80.96, 0.47)","(83.24, 0.29)","(83.4, 0.29)","(53.22, 0.43)","(50.86, 0.32)","(58.11, 0.31)","(77.91, 0.1)","(58.11, 0.31)"
ifl_esVision,"(81.46, 0.4)","(81.44, 0.4)","(83.01, 0.28)","(83.16, 0.28)","(52.69, 0.17)","(50.6, 0.19)","(57.3, 0.32)","(77.9, 0.13)","(57.36, 0.34)"
ifl_esTAV   ,"(78.29, 0.85)","(78.28, 0.85)","(81.06, 0.61)","(81.26, 0.59)","(53.64, 0.24)","(51.44, 0.27)","(58.4, 0.53)","(75.93, 0.17)","(58.35, 0.53)"
ifl_esIID   ,"(81.04, 0.78)","(81.62, 0.73)","(85.2, 0.35)","(85.22, 0.36)","(54.32, 0.81)","(52.41, 0.73)","(55.74, 0.98)","(75.87, 0.71)","(55.74, 0.97)"
ifl_esText  ,"(77.7, 1.15)","(77.88, 1.14)","(81.61, 0.84)","(81.58, 0.85)","(52.88, 0.56)","(50.78, 0.52)","(58.55, 0.8)","(74.36, 0.44)","(58.55, 0.79)"
ifl_esAudio ,"(80.97, 0.88)","(80.97, 0.88)","(83.94, 0.66)","(84.07, 0.65)","(53.33, 0.41)","(50.6, 0.31)","(58.18, 0.85)","(77.6, 0.66)","(58.18, 0.88)"
ifl_esVision,"(80.97, 0.51)","(80.97, 0.51)","(83.39, 0.5)","(83.53, 0.49)","(53.59, 0.37)","(51.12, 0.22)","(57.45, 0.94)","(77.4, 0.93)","(57.48, 0.99)"
ifl_esTAV   ,"(77.67, 0.75)","(77.66, 0.75)","(81.49, 0.57)","(81.65, 0.55)","(53.86, 1.14)","(51.26, 1.12)","(58.98, 1.45)","(75.11, 1.11)","(59.01, 1.46)"
